РВСВ_1,РВСН_1,РВЛВ_0,РВЛВ_1,РВЛВ_3,РВЛВ_4,РВЛВ_6,РВЛВ_7,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_12
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
599.9244,1200.983,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,1375.882,1375.882,764.9949,1375.882,1375.882,764.9949,1375.882,1375.882,764.9949,1375.882,1375.882,1375.882
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
542.9688,1085.938,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,1111.895,1111.895,618.9516,1111.895,1111.895,618.9516,1111.895,1111.895,618.9516,1111.895,1111.895,1111.895
542.9688,1086.946,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,493.9516,1111.895,1111.895,618.9516,1111.895,1111.895,618.9516,1111.895,1111.895,618.9516,1111.895,1111.895,1111.895
543.9768,1088.962,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,1113.911,1113.911,619.9597,1113.911,1113.911,619.9597,1113.911,1113.911,619.9597,1113.911,1113.911,1113.911
544.9849,1089.97,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,494.9597,1114.919,1114.919,619.9597,1114.919,1114.919,619.9597,1114.919,1114.919,619.9597,1114.919,1114.919,1114.919
548.8911,1097.908,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,1122.984,1122.984,623.9919,1122.984,1122.984,623.9919,1122.984,1122.984,623.9919,1122.984,1122.984,1122.984
598.9163,1197.959,598.9163,598.9163,598.9163,598.9163,598.9163,598.9163,598.9163,598.9163,598.9163,1247.984,1247.984,638.9869,1247.984,1247.984,638.9869,1247.984,1247.984,638.9869,1247.984,1247.984,1247.984
599.9244,1199.975,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,1224.924,1224.924,614.9194,1224.924,1224.924,614.9194,1224.924,1224.924,614.9194,1224.924,1224.924,1224.924
600.9324,1201.991,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1226.941,1226.941,614.9194,1226.941,1226.941,614.9194,1226.941,1226.941,614.9194,1226.941,1226.941,1226.941
602.9486,1205.897,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,1230.973
602.9486,1205.897,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,1230.973
602.9486,1205.897,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,616.9355,1230.973,1230.973,1230.973
603.9567,1207.913,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,1232.989,1232.989,617.9435,1232.989,1232.989,617.9435,1232.989,1232.989,617.9435,1232.989,1232.989,1232.989
600.9324,1201.991,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1226.941,1226.941,614.9194,1226.941,1226.941,614.9194,1226.941,1226.941,614.9194,1226.941,1226.941,1226.941
608.9969,1218.876,608.9969,608.9969,608.9969,608.9969,608.9969,608.9969,608.9969,608.9969,608.9969,1244.96,1244.96,621.9758,1244.96,1244.96,621.9758,1244.96,1244.96,621.9758,1244.96,1244.96,1244.96
609.879,1219.884,609.879,609.879,609.879,609.879,609.879,609.879,609.879,609.879,609.879,1244.96,1244.96,621.9758,1244.96,1244.96,621.9758,1244.96,1244.96,621.9758,1244.96,1244.96,1244.96
612.9032,1226.941,612.9032,612.9032,612.9032,612.9032,612.9032,612.9032,612.9032,612.9032,612.9032,1252.898,1252.898,625.0,1252.898,1252.898,625.0,1252.898,1252.898,625.0,1252.898,1252.898,1252.898
613.9113,1228.957,613.9113,613.9113,613.9113,613.9113,613.9113,613.9113,613.9113,613.9113,613.9113,1254.914,1254.914,625.0,1254.914,1254.914,625.0,1254.914,1254.914,625.0,1254.914,1254.914,1254.914
615.9274,1232.989,615.9274,615.9274,615.9274,615.9274,615.9274,615.9274,615.9274,615.9274,615.9274,1257.938,1257.938,626.8901,1257.938,1257.938,626.8901,1257.938,1257.938,626.8901,1257.938,1257.938,1257.938
617.9435,1235.887,617.9435,617.9435,617.9435,617.9435,617.9435,617.9435,617.9435,617.9435,617.9435,1261.971,1261.971,627.8982,1261.971,1261.971,627.8982,1261.971,1261.971,627.8982,1261.971,1261.971,1261.971
548.8911,1098.916,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,498.9919,1123.992,1123.992,623.9919,1123.992,1123.992,623.9919,1123.992,1123.992,623.9919,1123.992,1123.992,1123.992
549.8992,1099.924,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1149.95,1149.95,649.9496,1149.95,1149.95,649.9496,1149.95,1149.95,649.9496,1149.95,1149.95,1149.95
549.8992,1100.932,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,1150.958
553.9315,1108.997,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,1301.915,1301.915,693.9264,1301.915,1301.915,693.9264,1301.915,1301.915,693.9264,1301.915,1301.915,1301.915
553.9315,1108.997,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,604.9647,1301.915,1301.915,693.9264,1301.915,1301.915,693.9264,1301.915,1301.915,693.9264,1301.915,1301.915,1301.915
