group_of_standard,Углерод,Кремний,Марганец,Сера,Фосфор,Хром,Никель,Медь,Алюминий,Титан,Ванадий,Ниобий,Молибден,Бор,Кальций,Цинк,Олово,Мышьяк,Железо,Азот,C_EKV,K_SVAR,номер раската
3,0.07,0.23,1.71,0.003,0.01,0.05,0.19,0.15,0.031,0.021,0.005,0.052,0.005,0.0006,0.002,0.0007,0.0056,0.004,97.3803,0.007,0.39,0.18,4
3,0.07,0.23,1.71,0.003,0.01,0.05,0.19,0.15,0.031,0.021,0.005,0.052,0.005,0.0006,0.002,0.0007,0.0056,0.004,97.3803,0.007,0.39,0.18,6
3,0.07,0.25,1.74,0.003,0.008,0.03,0.17,0.14,0.038,0.022,0.005,0.051,0.004,0.0005,0.003,0.001,0.0039,0.0039,97.431,0.005,0.39,0.18,15
3,0.07,0.25,1.74,0.003,0.008,0.03,0.17,0.14,0.038,0.022,0.005,0.051,0.004,0.0005,0.003,0.001,0.0039,0.0039,97.431,0.005,0.39,0.18,13
3,0.069,0.2652,1.74,0.0029,0.0097,0.0373,0.1663,0.1424,0.0375,0.0216,0.0052,0.0495,0.0039,0.0005,0.00242,0.0014,0.0041,0.0033,97.4178,0.0048,0.39,0.18,11
3,0.069,0.2652,1.74,0.0029,0.0097,0.0373,0.1663,0.1424,0.0375,0.0216,0.0052,0.0495,0.0039,0.0005,0.00242,0.0014,0.0041,0.0033,97.4178,0.0048,0.39,0.18,11
3,0.069,0.2652,1.74,0.0029,0.0097,0.0373,0.1663,0.1424,0.0375,0.0216,0.0052,0.0495,0.0039,0.0005,0.00242,0.0014,0.0041,0.0033,97.4178,0.0048,0.39,0.18,2
3,0.069,0.2652,1.74,0.0029,0.0097,0.0373,0.1663,0.1424,0.0375,0.0216,0.0052,0.0495,0.0039,0.0005,0.00242,0.0014,0.0041,0.0033,97.4178,0.0048,0.39,0.18,7
3,0.06,0.24,1.72,0.002,0.009,0.03,0.24,0.16,0.036,0.022,0.004,0.051,0.012,0.0006,0.002,0.0008,0.0086,0.0029,97.3057,0.005,0.38,0.17,8
3,0.06,0.24,1.72,0.002,0.009,0.03,0.24,0.16,0.036,0.022,0.004,0.051,0.012,0.0006,0.002,0.0008,0.0086,0.0029,97.3057,0.005,0.38,0.17,11
3,0.07,0.25,1.72,0.003,0.009,0.04,0.16,0.12,0.039,0.024,0.004,0.05,0.004,0.0006,0.001,0.0013,0.0036,0.003,97.4124,0.005,0.38,0.18,5
3,0.07,0.25,1.72,0.003,0.009,0.04,0.16,0.12,0.039,0.024,0.004,0.05,0.004,0.0006,0.001,0.0013,0.0036,0.003,97.4124,0.005,0.38,0.18,14
3,0.0686,0.2418,1.7248,0.0023,0.0101,0.0368,0.1668,0.12,0.0397,0.0247,0.0033,0.0505,0.0029,0.0005,0.00152,0.0011,0.0035,0.0028,97.4735,0.0059,0.39,0.18,13
3,0.0686,0.2418,1.7248,0.0023,0.0101,0.0368,0.1668,0.12,0.0397,0.0247,0.0033,0.0505,0.0029,0.0005,0.00152,0.0011,0.0035,0.0028,97.4735,0.0059,0.39,0.18,16
3,0.0723,0.278,1.7281,0.0024,0.0109,0.0441,0.166,0.1304,0.0369,0.0234,0.0027,0.0511,0.0029,0.0005,0.00226,0.0011,0.0043,0.0037,97.4169,0.0049,0.39,0.18,7
3,0.0723,0.278,1.7281,0.0024,0.0109,0.0441,0.166,0.1304,0.0369,0.0234,0.0027,0.0511,0.0029,0.0005,0.00226,0.0011,0.0043,0.0037,97.4169,0.0049,0.39,0.18,8
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,2
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,11
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,13
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,16
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,12
3,0.06,0.25,1.7,0.002,0.008,0.04,0.22,0.15,0.036,0.021,0.003,0.049,0.008,0.0005,0.002,0.0008,0.0033,0.0033,97.3553,0.004,0.38,0.17,6
3,0.07,0.25,1.73,0.002,0.007,0.04,0.17,0.13,0.038,0.021,0.003,0.049,0.004,0.0005,0.001,0.0009,0.004,0.0028,97.4583,0.005,0.39,0.18,11
3,0.07,0.25,1.73,0.002,0.007,0.04,0.17,0.13,0.038,0.021,0.003,0.049,0.004,0.0005,0.001,0.0009,0.004,0.0028,97.4583,0.005,0.39,0.18,9
0,0.07,0.24,1.72,0.002,0.012,0.05,0.17,0.13,0.033,0.021,0.007,0.053,0.005,0.0004,0.002,0.0009,0.0034,0.003,97.4601,0.004,0.39,0.18,10
0,0.06,0.28,1.72,0.002,0.008,0.06,0.17,0.13,0.037,0.021,0.003,0.052,0.004,0.0005,0.003,0.0017,0.004,0.0041,97.4074,0.005,0.38,0.17,15
0,0.06,0.28,1.72,0.002,0.008,0.06,0.17,0.13,0.037,0.021,0.003,0.052,0.004,0.0005,0.003,0.0017,0.004,0.0041,97.4074,0.005,0.38,0.17,3
0,0.07,0.26,1.71,0.002,0.01,0.05,0.16,0.13,0.034,0.02,0.005,0.051,0.003,0.0005,0.001,0.0012,0.0039,0.0032,97.4671,0.004,0.39,0.18,13
0,0.07,0.26,1.71,0.002,0.01,0.05,0.16,0.13,0.034,0.02,0.005,0.051,0.003,0.0005,0.001,0.0012,0.0039,0.0032,97.4671,0.004,0.39,0.18,6
0,0.0659,0.2324,1.7255,0.0012,0.0081,0.0384,0.1866,0.1298,0.0329,0.0183,0.0032,0.0484,0.0036,0.0004,0.0016,0.0011,0.0032,0.0024,97.424,0.005,0.39,0.18,8
0,0.0659,0.2324,1.7255,0.0012,0.0081,0.0384,0.1866,0.1298,0.0329,0.0183,0.0032,0.0484,0.0036,0.0004,0.0016,0.0011,0.0032,0.0024,97.424,0.005,0.39,0.18,2
0,0.06,0.26,1.74,0.002,0.013,0.05,0.17,0.15,0.034,0.02,0.008,0.052,0.004,0.0005,0.001,0.0013,0.0046,0.0026,97.3913,0.004,0.38,0.17,16
0,0.06,0.26,1.74,0.002,0.013,0.05,0.17,0.15,0.034,0.02,0.008,0.052,0.004,0.0005,0.001,0.0013,0.0046,0.0026,97.3913,0.004,0.38,0.17,10
0,0.06,0.26,1.74,0.002,0.011,0.06,0.17,0.14,0.037,0.021,0.006,0.05,0.003,0.0005,0.001,0.0018,0.0042,0.0037,97.4116,0.004,0.38,0.17,10
0,0.06,0.26,1.74,0.002,0.011,0.06,0.17,0.14,0.037,0.021,0.006,0.05,0.003,0.0005,0.001,0.0018,0.0042,0.0037,97.4116,0.004,0.38,0.17,7
0,0.07,0.22,1.74,0.003,0.008,0.05,0.17,0.13,0.037,0.022,0.004,0.048,0.005,0.0004,0.002,0.0008,0.003,0.003,97.4241,0.005,0.39,0.18,10
0,0.07,0.22,1.74,0.003,0.008,0.05,0.17,0.13,0.037,0.022,0.004,0.048,0.005,0.0004,0.002,0.0008,0.003,0.003,97.4241,0.005,0.39,0.18,5
0,0.08,0.27,1.74,0.002,0.007,0.05,0.17,0.13,0.033,0.023,0.003,0.051,0.005,0.0005,0.002,0.0011,0.0033,0.0027,97.3644,0.005,0.4,0.19,5
0,0.08,0.27,1.74,0.002,0.007,0.05,0.17,0.13,0.033,0.023,0.003,0.051,0.005,0.0005,0.002,0.0011,0.0033,0.0027,97.3644,0.005,0.4,0.19,3
3,0.07,0.24,1.71,0.002,0.009,0.03,0.28,0.17,0.04,0.023,0.003,0.05,0.016,0.0006,0.002,0.0008,0.0032,0.0028,97.2739,0.005,0.39,0.18,2
3,0.07,0.24,1.71,0.002,0.009,0.03,0.28,0.17,0.04,0.023,0.003,0.05,0.016,0.0006,0.002,0.0008,0.0032,0.0028,97.2739,0.005,0.39,0.18,5
3,0.08,0.26,1.75,0.002,0.008,0.07,0.21,0.16,0.035,0.022,0.004,0.053,0.016,0.0006,0.001,0.001,0.0039,0.0025,97.2547,0.005,0.41,0.2,5
3,0.08,0.26,1.75,0.002,0.008,0.07,0.21,0.16,0.035,0.022,0.004,0.053,0.016,0.0006,0.001,0.001,0.0039,0.0025,97.2547,0.005,0.41,0.2,4
3,0.07,0.28,1.71,0.002,0.01,0.03,0.17,0.13,0.033,0.021,0.005,0.053,0.003,0.0005,0.002,0.0011,0.0093,0.0033,97.4416,0.005,0.38,0.18,8
3,0.07,0.28,1.71,0.002,0.01,0.03,0.17,0.13,0.033,0.021,0.005,0.053,0.003,0.0005,0.002,0.0011,0.0093,0.0033,97.4416,0.005,0.38,0.18,13
3,0.08,0.26,1.7,0.002,0.009,0.05,0.18,0.15,0.042,0.023,0.004,0.049,0.004,0.0005,0.001,0.0011,0.0042,0.0029,97.4241,0.005,0.4,0.19,8
3,0.08,0.26,1.7,0.002,0.009,0.05,0.18,0.15,0.042,0.023,0.004,0.049,0.004,0.0005,0.001,0.0011,0.0042,0.0029,97.4241,0.005,0.4,0.19,11
3,0.08,0.24,1.7,0.002,0.01,0.05,0.22,0.13,0.036,0.021,0.005,0.052,0.021,0.0006,0.001,0.0008,0.0035,0.0032,97.3459,0.005,0.4,0.19,15
