РВСВ_3,РВЛН_13,РВСН_3,РВЛВ_13,РВЛН_11
548.8911,1087.954,1097.908,493.9516,588.9617
548.8911,1097.908,1097.908,498.9919,598.9163
548.8911,1097.908,1097.908,498.9919,598.9163
549.8992,1199.975,1099.924,479.9647,699.9748
549.8992,1199.975,1099.924,479.9647,699.9748
550.9072,1201.991,1101.941,480.9728,700.9828
550.9072,1201.991,1101.941,480.9728,700.9828
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1200.983,1100.932,524.9496,599.9244
549.8992,1199.975,1099.924,524.9496,599.9244
548.8911,1198.967,1098.916,523.9415,598.9163
548.8911,1198.967,1098.916,523.9415,598.9163
548.8911,1198.967,1098.916,523.9415,598.9163
549.8992,1199.975,1099.924,524.9496,599.9244
549.8992,1150.958,1100.932,474.9244,549.8992
550.9072,1152.974,1102.949,475.9325,550.9072
599.9244,1300.907,1200.983,549.8992,699.9748
599.9244,1299.899,1199.975,549.8992,699.9748
549.8992,1199.975,1099.924,500.0,599.9244
549.8992,1199.975,1099.924,500.0,599.9244
547.8831,1095.892,1095.892,447.9587,497.9839
547.8831,1096.9,1096.9,447.9587,498.9919
575.9828,1352.949,1201.991,575.9828,750.8821
576.9909,1353.957,1203.881,576.9909,751.8901
576.9909,1354.965,1204.889,576.9909,751.8901
576.9909,1355.973,1204.889,576.9909,751.8901
576.9909,1355.973,1204.889,576.9909,751.8901
577.999,1356.981,1205.897,577.999,752.8982
577.999,1407.888,1206.905,602.9486,802.9234
577.999,1432.964,1206.905,552.9234,827.999
577.999,1433.972,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
577.999,1456.905,1205.897,551.9153,852.9486
576.9909,1455.897,1204.889,551.9153,852.9486
574.9748,1469.884,1199.975,564.8942,849.9244
573.9667,1468.876,1198.967,563.8861,848.9163
572.9587,1444.934,1195.943,557.9637,847.9083
572.9587,1445.943,1196.951,557.9637,847.9083
571.9506,1451.991,1193.926,556.9556,855.9728
578.881,1490.927,1208.921,573.9667,884.9547
578.881,1491.935,1209.929,573.9667,884.9547
579.8891,1482.989,1210.938,569.9344,875.0
579.8891,1482.989,1210.938,569.9344,875.0
570.9426,1451.991,1192.918,555.9476,855.9728
576.9909,1476.941,1204.889,566.9103,872.9839
575.9828,1473.916,1202.999,565.9022,870.9677
574.9748,1469.884,1199.975,564.8942,869.9597
575.9828,1472.908,1201.991,565.9022,870.9677
576.9909,1506.93,1204.889,551.9153,902.9738
577.999,1558.972,1206.905,552.9234,953.881
576.9909,1556.956,1204.889,551.9153,952.999
576.9909,1556.956,1204.889,551.9153,952.999
576.9909,1476.941,1204.889,566.9103,872.9839
576.9909,1506.93,1204.889,551.9153,902.9738
576.9909,1506.93,1204.889,551.9153,902.9738
577.999,1508.947,1206.905,552.9234,903.9819
577.999,1508.947,1207.913,552.9234,903.9819
578.881,1509.955,1207.913,502.8982,903.9819
577.999,1506.93,1205.897,501.8901,902.9738
597.9083,1296.875,1196.951,498.9919,698.9667
597.9083,1346.9,1196.951,548.8911,747.9839
596.9002,1243.952,1193.926,596.9002,646.9254
596.9002,1243.952,1193.926,596.9002,646.9254
596.9002,1243.952,1193.926,596.9002,646.9254
599.9244,1250.882,1200.983,599.9244,649.9496
599.9244,1250.882,1200.983,599.9244,649.9496
599.9244,1200.983,1200.983,599.9244,599.9244
599.9244,1200.983,1200.983,599.9244,599.9244
599.9244,1199.975,1199.975,574.9748,599.9244
599.9244,1200.983,1200.983,574.9748,599.9244
597.9083,1220.892,1195.943,572.9587,622.9839
599.9244,1224.924,1199.975,574.9748,625.0
575.9828,1278.982,1202.999,625.8821,675.9072
574.9748,1250.0,1199.975,589.9697,649.9496
577.999,1356.981,1205.897,577.999,752.8982
574.9748,1250.0,1199.975,589.9697,649.9496
574.9748,1250.0,1199.975,589.9697,649.9496
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
605.9728,1236.895,1211.946,579.8891,628.9063
605.9728,1236.895,1211.946,579.8891,628.9063
600.9324,1227.949,1202.999,575.9828,625.8821
600.9324,1226.941,1201.991,575.9828,625.0
598.9163,1222.908,1197.959,573.9667,623.9919
597.9083,1220.892,1195.943,572.9587,622.9839
591.9859,1225.932,1184.98,513.9869,633.9466
592.994,1226.941,1185.988,513.9869,633.9466
592.994,1226.941,1186.996,513.9869,634.9547
592.994,1226.941,1186.996,513.9869,634.9547
595.8922,1233.997,1192.918,516.8851,636.9708
595.8922,1233.997,1192.918,516.8851,636.9708
600.9324,1202.999,1202.999,500.882,600.9324
601.9405,1183.972,1204.889,500.882,580.8972
602.9486,1185.988,1205.897,501.8901,581.9052
602.9486,1185.988,1205.897,501.8901,581.9052
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
